local_apreensao;grupo_apreensao;tipo_apreensao;unidade_apreensao;total_uf;ano;quantidade_apreensao
AC;Diversos;Cigarros;maços;454604;2022;142174
AC;Diversos;Cigarros;maços;454604;2023;93730
AC;Diversos;Cigarros;maços;454604;2024;218700
AL;Diversos;Cigarros;maços;301000;2022;
AL;Diversos;Cigarros;maços;301000;2023;1000
AL;Diversos;Cigarros;maços;301000;2024;300000
AM;Diversos;Cigarros;maços;25500;2022;22500
AM;Diversos;Cigarros;maços;25500;2023;3000
AM;Diversos;Cigarros;maços;25500;2024;
AP;Diversos;Cigarros;maços;1700;2022;
AP;Diversos;Cigarros;maços;1700;2023;1700
AP;Diversos;Cigarros;maços;1700;2024;
BA;Diversos;Cigarros;maços;12503481;2022;5363446
BA;Diversos;Cigarros;maços;12503481;2023;3736895
BA;Diversos;Cigarros;maços;12503481;2024;3403140
CE;Diversos;Cigarros;maços;1990150;2022;297000
CE;Diversos;Cigarros;maços;1990150;2023;878500
CE;Diversos;Cigarros;maços;1990150;2024;814650
DF;Diversos;Cigarros;maços;268396;2022;1200
DF;Diversos;Cigarros;maços;268396;2023;256796
DF;Diversos;Cigarros;maços;268396;2024;10400
ES;Diversos;Cigarros;maços;2851907;2022;96997
ES;Diversos;Cigarros;maços;2851907;2023;1254630
ES;Diversos;Cigarros;maços;2851907;2024;1500280
GO;Diversos;Cigarros;maços;3903867;2022;2229501
GO;Diversos;Cigarros;maços;3903867;2023;1460546
GO;Diversos;Cigarros;maços;3903867;2024;213820
MA;Diversos;Cigarros;maços;826768;2022;267
MA;Diversos;Cigarros;maços;826768;2023;554501
MA;Diversos;Cigarros;maços;826768;2024;272000
MG;Diversos;Cigarros;maços;12511350;2022;1937090
MG;Diversos;Cigarros;maços;12511350;2023;6173960
MG;Diversos;Cigarros;maços;12511350;2024;4400300
MS;Diversos;Cigarros;maços;19322802;2022;6055999
MS;Diversos;Cigarros;maços;19322802;2023;6780987
MS;Diversos;Cigarros;maços;19322802;2024;6485816
MT;Diversos;Cigarros;maços;586607;2022;157851
MT;Diversos;Cigarros;maços;586607;2023;116605
MT;Diversos;Cigarros;maços;586607;2024;312151
PA;Diversos;Cigarros;maços;407605;2022;271045
PA;Diversos;Cigarros;maços;407605;2023;46000
PA;Diversos;Cigarros;maços;407605;2024;90560
PB;Diversos;Cigarros;maços;3873832;2022;641450
PB;Diversos;Cigarros;maços;3873832;2023;1103882
PB;Diversos;Cigarros;maços;3873832;2024;2128500
PE;Diversos;Cigarros;maços;3816427;2022;3166470
PE;Diversos;Cigarros;maços;3816427;2023;211190
PE;Diversos;Cigarros;maços;3816427;2024;438767
PI;Diversos;Cigarros;maços;2935587;2022;1535545
PI;Diversos;Cigarros;maços;2935587;2023;406181
PI;Diversos;Cigarros;maços;2935587;2024;993861
PR;Diversos;Cigarros;maços;96280150.6;2022;31863811.9
PR;Diversos;Cigarros;maços;96280150.6;2023;34276362.2
PR;Diversos;Cigarros;maços;96280150.6;2024;30139976.5
RJ;Diversos;Cigarros;maços;3137726;2022;1346500
RJ;Diversos;Cigarros;maços;3137726;2023;11341
RJ;Diversos;Cigarros;maços;3137726;2024;1779885
RN;Diversos;Cigarros;maços;5006851;2022;384949
RN;Diversos;Cigarros;maços;5006851;2023;2802718
RN;Diversos;Cigarros;maços;5006851;2024;1819184
RO;Diversos;Cigarros;maços;629198;2022;18254
RO;Diversos;Cigarros;maços;629198;2023;587800
RO;Diversos;Cigarros;maços;629198;2024;23144
RR;Diversos;Cigarros;maços;1009;2022;9
RR;Diversos;Cigarros;maços;1009;2023;
RR;Diversos;Cigarros;maços;1009;2024;1000
RS;Diversos;Cigarros;maços;7679184;2022;4938304
RS;Diversos;Cigarros;maços;7679184;2023;1893197
RS;Diversos;Cigarros;maços;7679184;2024;847683
SC;Diversos;Cigarros;maços;6344583;2022;5045677
SC;Diversos;Cigarros;maços;6344583;2023;815686
SC;Diversos;Cigarros;maços;6344583;2024;483220
SE;Diversos;Cigarros;maços;2280614;2022;2280614
SE;Diversos;Cigarros;maços;2280614;2023;
SE;Diversos;Cigarros;maços;2280614;2024;
SP;Diversos;Cigarros;maços;6592138;2022;4137240
SP;Diversos;Cigarros;maços;6592138;2023;918280
SP;Diversos;Cigarros;maços;6592138;2024;1536618
TO;Diversos;Cigarros;maços;440192;2022;5110
TO;Diversos;Cigarros;maços;440192;2023;9482
TO;Diversos;Cigarros;maços;440192;2024;425600
